bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
MONEYLINE,2026-03-30,LAD,CLE,CLE,Roki Sasaki,Parker Messick,159.0,0.3861,0.5011,0.115,11.5%,0.1873,HIGH,True,Favorite on 3L skid; Strong value play,,,
MONEYLINE,2026-03-30,PHI,WSH,WSH,Taijuan Walker,Foster Griffin,146.0,0.4065,0.5065,0.1,10.0%,0.1685,MEDIUM,True,Strong value play,,,
MONEYLINE,2026-03-30,KC,MIN,MIN,Kris Bubic,Simeon Woods Richardson,140.0,0.4167,0.5135,0.0968,9.7%,0.1659,MEDIUM,True,Strong value play,,,
MONEYLINE,2026-03-30,CHC,LAA,LAA,Edward Cabrera,Ryan Johnson,158.0,0.3876,0.4067,0.0191,1.9%,0.0311,NO PLAY,False,Standard play,,,
MONEYLINE,2026-03-30,TOR,COL,COL,Cody Ponce,Tomoyuki Sugano,230.0,0.303,0.2563,-0.0467,-4.7%,0.0,NO PLAY,False,Favorite on 3L skid,,,
FULL GAME TOTAL,2026-03-30,MIL,TB,,Kyle Harrison,Nick Martinez,,,,0.3384,33.8%,,HIGH,True,High-scoring matchup; Strong value,UNDER,8.0,0.8384
FULL GAME TOTAL,2026-03-30,KC,MIN,,Kris Bubic,Simeon Woods Richardson,,,,0.3269,32.7%,,HIGH,True,Low-scoring matchup; Strong value,OVER,9.5,0.8269
FULL GAME TOTAL,2026-03-30,SEA,NYY,,Luis Castillo,Ryan Weathers,,,,0.3046,30.5%,,HIGH,True,Pitcher-friendly park; Strong value,UNDER,7.5,0.8046
FULL GAME TOTAL,2026-03-30,ARI,DET,,Michael Soroka,Justin Verlander,,,,0.2522,25.2%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,9.0,0.7522
FULL GAME TOTAL,2026-03-30,LAD,CLE,,Roki Sasaki,Parker Messick,,,,0.1914,19.1%,,HIGH,True,Strong value,OVER,8.5,0.6914
FULL GAME TOTAL,2026-03-30,CHC,LAA,,Edward Cabrera,Ryan Johnson,,,,0.1913,19.1%,,HIGH,True,High-scoring matchup; Strong value,UNDER,9.5,0.6913
FULL GAME TOTAL,2026-03-30,STL,NYM,,Kyle Leahy,Clay Holmes,,,,0.1757,17.6%,,HIGH,True,High-scoring matchup; Strong value,UNDER,9.0,0.6757
FULL GAME TOTAL,2026-03-30,CIN,PIT,,Chase Burns,Braxton Ashcraft,,,,0.1616,16.2%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,8.0,0.6616
FULL GAME TOTAL,2026-03-30,SD,SF,,Walker Buehler,Landen Roupp,,,,0.1574,15.7%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,8.0,0.6574
FULL GAME TOTAL,2026-03-30,HOU,BOS,,Lance McCullers Jr.,Ranger Suarez,,,,0.1371,13.7%,,HIGH,True,Strong value,OVER,8.5,0.6371
FULL GAME TOTAL,2026-03-30,MIA,CWS,,Chris Paddack,Davis Martin,,,,0.0971,9.7%,,MEDIUM,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,8.0,0.5971
FULL GAME TOTAL,2026-03-30,PHI,WSH,,Taijuan Walker,Foster Griffin,,,,0.0868,8.7%,,MEDIUM,True,Strong value,UNDER,9.0,0.5868
FULL GAME TOTAL,2026-03-30,TOR,COL,,Cody Ponce,Tomoyuki Sugano,,,,0.0841,8.4%,,MEDIUM,True,Strong value,OVER,8.5,0.5841
FULL GAME TOTAL,2026-03-30,BAL,TEX,,Chris Bassitt,Jack Leiter,,,,0.0541,5.4%,,NO PLAY,False,Standard play,UNDER,9.5,0.5541
F5 TOTAL,2026-03-30,SD,SF,,Walker Buehler,Landen Roupp,,,,0.3407,34.1%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,4.4,0.8407
F5 TOTAL,2026-03-30,STL,NYM,,Kyle Leahy,Clay Holmes,,,,0.2897,29.0%,,HIGH,True,High-scoring matchup; Strong value,UNDER,5.0,0.7897
F5 TOTAL,2026-03-30,ARI,DET,,Michael Soroka,Justin Verlander,,,,0.2858,28.6%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,5.0,0.7858
F5 TOTAL,2026-03-30,KC,MIN,,Kris Bubic,Simeon Woods Richardson,,,,0.234,23.4%,,HIGH,True,Low-scoring matchup; Strong value,OVER,5.2,0.734
F5 TOTAL,2026-03-30,SEA,NYY,,Luis Castillo,Ryan Weathers,,,,0.2131,21.3%,,HIGH,True,Pitcher-friendly park; Strong value,UNDER,4.1,0.7131
F5 TOTAL,2026-03-30,LAD,CLE,,Roki Sasaki,Parker Messick,,,,0.1943,19.4%,,HIGH,True,Strong value,OVER,4.7,0.6943
F5 TOTAL,2026-03-30,MIA,CWS,,Chris Paddack,Davis Martin,,,,0.1893,18.9%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,4.4,0.6893
F5 TOTAL,2026-03-30,MIL,TB,,Kyle Harrison,Nick Martinez,,,,0.1594,15.9%,,HIGH,True,High-scoring matchup; Strong value,UNDER,4.4,0.6594
F5 TOTAL,2026-03-30,CHC,LAA,,Edward Cabrera,Ryan Johnson,,,,0.1533,15.3%,,HIGH,True,High-scoring matchup; Strong value,UNDER,5.2,0.6533
F5 TOTAL,2026-03-30,BAL,TEX,,Chris Bassitt,Jack Leiter,,,,0.1134,11.3%,,HIGH,True,Strong value,UNDER,5.2,0.6134
F5 TOTAL,2026-03-30,CIN,PIT,,Chase Burns,Braxton Ashcraft,,,,0.0862,8.6%,,MEDIUM,True,Hitter-friendly park; Low-scoring matchup; Strong value,UNDER,4.4,0.5862
F5 TOTAL,2026-03-30,TOR,COL,,Cody Ponce,Tomoyuki Sugano,,,,0.0798,8.0%,,LOW,True,Standard play,OVER,4.7,0.5798
F5 TOTAL,2026-03-30,HOU,BOS,,Lance McCullers Jr.,Ranger Suarez,,,,0.0495,5.0%,,NO PLAY,False,Standard play,UNDER,4.7,0.5495
F5 TOTAL,2026-03-30,PHI,WSH,,Taijuan Walker,Foster Griffin,,,,0.0299,3.0%,,NO PLAY,False,Standard play,OVER,5.0,0.5299
