bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
MONEYLINE,2026-04-10,CIN,LAA,LAA,Chase Burns,Jack Kochanowicz,156.0,0.3906,0.6497,0.259,25.9%,0.4251,HIGH,True,Facing elite SP; Strong value play,,,,,
MONEYLINE,2026-04-10,SD,COL,COL,Walker Buehler,Tomoyuki Sugano,155.0,0.3922,0.5381,0.1459,14.6%,0.24,HIGH,False,Underdog SP has better ERA; Strong value play,,,,,
MONEYLINE,2026-04-10,MIL,WSH,WSH,Chad Patrick,Jake Irvin,170.0,0.3704,0.4601,0.0897,9.0%,0.1425,MEDIUM,False,Facing elite SP; Strong value play,,,,,
MONEYLINE,2026-04-10,KC,CWS,CWS,Kris Bubic,Davis Martin,152.0,0.3968,0.482,0.0852,8.5%,0.1413,MEDIUM,False,Underdog SP has better ERA; Favorite on 3L skid; Strong value play,,,,,
MONEYLINE,2026-04-10,PHI,ARI,ARI,Jesús Luzardo,Michael Soroka,152.0,0.3968,0.4517,0.0548,5.5%,0.0909,MEDIUM,False,Underdog SP has better ERA; Good value,,,,,
MONEYLINE,2026-04-10,LAD,TEX,TEX,Tyler Glasnow,Kumar Rocker,193.0,0.3413,0.3823,0.041,4.1%,0.0622,NO PLAY,False,Facing elite SP,,,,,
FULL GAME TOTAL,2026-04-10,SEA,HOU,,Emerson Hancock,Tatsuya Imai,,,,0.2065,20.7%,,HIGH,True,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value,UNDER,7.5,0.7065,,
FULL GAME TOTAL,2026-04-10,MIL,WSH,,Chad Patrick,Jake Irvin,,,,0.1789,17.9%,,MEDIUM,False,"High-scoring teams, but line is inflated; Strong value",UNDER,8.0,0.6789,,
FULL GAME TOTAL,2026-04-10,LAD,TEX,,Tyler Glasnow,Kumar Rocker,,,,0.172,17.2%,,MEDIUM,False,Elite SP matchup; Strong value,UNDER,8.5,0.672,,
FULL GAME TOTAL,2026-04-10,DET,MIA,,Keider Montero,Chris Paddack,,,,0.1387,13.9%,,LOW,False,"Weak pitching, but line already accounts for it; Strong value",UNDER,8.5,0.6387,,
FULL GAME TOTAL,2026-04-10,PHI,ARI,,Jesús Luzardo,Michael Soroka,,,,0.1068,10.7%,,NO PLAY,False,"Elite SPs, but line overreacts; Strong value",OVER,8.5,0.6068,,
FULL GAME TOTAL,2026-04-10,BAL,SF,,Shane Baz,Landen Roupp,,,,0.0982,9.8%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Strong value",OVER,8.5,0.5982,,
FULL GAME TOTAL,2026-04-10,CIN,LAA,,Chase Burns,Jack Kochanowicz,,,,0.078,7.8%,,NO PLAY,False,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,9.0,0.578,,
FULL GAME TOTAL,2026-04-10,KC,CWS,,Kris Bubic,Davis Martin,,,,0.0768,7.7%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,8.0,0.5768,,
FULL GAME TOTAL,2026-04-10,TOR,MIN,,Patrick Corbin,Simeon Woods Richardson,,,,0.0558,5.6%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,9.0,0.5558,,
FULL GAME TOTAL,2026-04-10,STL,BOS,,Dustin May,Connelly Early,,,,0.042,4.2%,,NO PLAY,False,Weak pitching matchup,OVER,7.5,0.542,,
FULL GAME TOTAL,2026-04-10,TB,NYY,,Steven Matz,Luis Gil,,,,0.0401,4.0%,,NO PLAY,False,Standard play,OVER,8.0,0.5401,,
FULL GAME TOTAL,2026-04-10,SD,COL,,Walker Buehler,Tomoyuki Sugano,,,,0.0169,1.7%,,NO PLAY,False,"Pitcher-friendly park, but other factors favor OVER; Weak pitching matchup",OVER,8.0,0.5169,,
FULL GAME TOTAL,2026-04-10,ATL,CLE,,Bryce Elder,Slade Cecconi,,,,0.0147,1.5%,,NO PLAY,False,Elite SP matchup,UNDER,8.5,0.5147,,
