bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
MONEYLINE,2026-04-19,COL,LAD,COL,Michael Lorenzen,Roki Sasaki,199.0,0.3344,0.598,0.2636,26.4%,0.396,HIGH,True,Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-19,NYY,KC,KC,Ryan Weathers,Cole Ragans,130.0,0.4348,0.3705,-0.0643,-6.4%,0.0,NO PLAY,False,Underdog SP has better ERA; Underdog on 6L skid; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
FULL GAME TOTAL,2026-04-19,PIT,TB,,Mitch Keller,Shane McClanahan,,,,0.0865,8.6%,,NO PLAY,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,7.5,0.5865,,
FULL GAME TOTAL,2026-04-19,SEA,TEX,,Bryan Woo,MacKenzie Gore,,,,0.083,8.3%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,7.0,0.583,,
FULL GAME TOTAL,2026-04-19,PHI,ATL,,Andrew Painter,Grant Holmes,,,,0.0695,6.9%,,NO PLAY,False,Both teams travel-fatigued,UNDER,8.0,0.5695,,
FULL GAME TOTAL,2026-04-19,LAA,SD,,Reid Detmers,Michael King,,,,0.0651,6.5%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,8.5,0.5651,,
FULL GAME TOTAL,2026-04-19,ARI,TOR,,Ryne Nelson,Kevin Gausman,,,,0.052,5.2%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Both teams travel-fatigued",OVER,8.0,0.552,,
FULL GAME TOTAL,2026-04-19,CHC,NYM,,Javier Assad,Tobias Myers,,,,0.0422,4.2%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,8.0,0.5422,,
FULL GAME TOTAL,2026-04-19,WSH,SF,,PJ Poulin,Robbie Ray,,,,0.034,3.4%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,8.5,0.534,,
FULL GAME TOTAL,2026-04-19,MIA,MIL,,Eury Pérez,Jacob Misiorowski,,,,0.0249,2.5%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,7.5,0.5249,,
FULL GAME TOTAL,2026-04-19,NYY,KC,,Ryan Weathers,Cole Ragans,,,,0.0166,1.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,8.0,0.5166,,
FULL GAME TOTAL,2026-04-19,CLE,BAL,,Joey Cantillo,Trevor Rogers,,,,0.0109,1.1%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,6.5,0.5109,,
FULL GAME TOTAL,2026-04-19,BOS,DET,,Garrett Crochet,Framber Valdez,,,,0.0105,1.1%,,NO PLAY,False,Hitter-friendly park favors OVER; Weak pitching matchup; Both teams travel-fatigued,OVER,7.0,0.5105,,
FULL GAME TOTAL,2026-04-19,MIN,CIN,,Bailey Ober,Brady Singer,,,,0.0058,0.6%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,8.0,0.5058,,
FULL GAME TOTAL,2026-04-19,COL,LAD,,Michael Lorenzen,Roki Sasaki,,,,0.0057,0.6%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,11.5,0.5057,,
FULL GAME TOTAL,2026-04-19,HOU,STL,,Mike Burrows,Matthew Liberatore,,,,0.0054,0.5%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,8.5,0.5054,,
F5 TOTAL,2026-04-19,WSH,SF,,PJ Poulin,Robbie Ray,,,,0.0959,9.6%,,NO PLAY,True,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,4.7,0.5959,,
F5 TOTAL,2026-04-19,MIN,CIN,,Bailey Ober,Brady Singer,,,,0.0893,8.9%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,4.4,0.5893,,
F5 TOTAL,2026-04-19,COL,LAD,,Michael Lorenzen,Roki Sasaki,,,,0.0854,8.5%,,NO PLAY,False,Hitter-friendly park favors OVER; Weak pitching matchup; Strong value; Both teams travel-fatigued,OVER,6.3,0.5854,,
F5 TOTAL,2026-04-19,PIT,TB,,Mitch Keller,Shane McClanahan,,,,0.0766,7.7%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Both teams travel-fatigued",UNDER,4.1,0.5766,,
F5 TOTAL,2026-04-19,LAA,SD,,Reid Detmers,Michael King,,,,0.0641,6.4%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,4.7,0.5641,,
F5 TOTAL,2026-04-19,SEA,TEX,,Bryan Woo,MacKenzie Gore,,,,0.0618,6.2%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Both teams travel-fatigued,UNDER,3.9,0.5618,,
F5 TOTAL,2026-04-19,MIA,MIL,,Eury Pérez,Jacob Misiorowski,,,,0.0606,6.1%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,4.1,0.5606,,
F5 TOTAL,2026-04-19,HOU,STL,,Mike Burrows,Matthew Liberatore,,,,0.0472,4.7%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,4.7,0.5472,,
F5 TOTAL,2026-04-19,ARI,TOR,,Ryne Nelson,Kevin Gausman,,,,0.0429,4.3%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Both teams travel-fatigued",OVER,4.4,0.5429,,
F5 TOTAL,2026-04-19,CLE,BAL,,Joey Cantillo,Trevor Rogers,,,,0.0266,2.7%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,3.6,0.5266,,
F5 TOTAL,2026-04-19,NYY,KC,,Ryan Weathers,Cole Ragans,,,,0.0178,1.8%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,4.4,0.5178,,
F5 TOTAL,2026-04-19,CHC,NYM,,Javier Assad,Tobias Myers,,,,0.0102,1.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,4.4,0.5102,,
F5 TOTAL,2026-04-19,PHI,ATL,,Andrew Painter,Grant Holmes,,,,0.0027,0.3%,,NO PLAY,False,Both teams travel-fatigued,OVER,4.4,0.5027,,
F5 TOTAL,2026-04-19,BOS,DET,,Garrett Crochet,Framber Valdez,,,,0.002,0.2%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,3.9,0.502,,
