bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-29,CIN,COL,COL,Brandon Williamson,Tomoyuki Sugano,130.0,0.4348,0.5928,0.158,15.8%,0.2795,HIGH,False,Underdog SP has better ERA; Strong value play; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-29,NYM,WSH,WSH,David Peterson,Cade Cavalli,136.0,0.4237,0.5254,0.1017,10.2%,0.1764,HIGH,False,Underdog SP has better ERA; Strong value play; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-29,LAD,MIA,MIA,Tyler Glasnow,Sandy Alcantara,194.0,0.3401,0.4242,0.0841,8.4%,0.1274,MEDIUM,False,Facing elite SP; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-04-29,CIN,COL,COL,Brandon Williamson,Tomoyuki Sugano,130.0,0.6154,,0.1274,12.7%,0.3312,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line,COL +1.5,-160.0,0.7428,,
RUN LINE,2026-04-29,NYM,WSH,WSH,David Peterson,Cade Cavalli,136.0,0.6226,,0.0528,5.3%,0.1398,NO PLAY,False,Strong ML probability boosts +1.5 cover,WSH +1.5,-165.0,0.6754,,
RUN LINE,2026-04-29,LAD,MIA,MIA,Tyler Glasnow,Sandy Alcantara,194.0,0.5238,,0.0504,5.0%,0.1059,NO PLAY,False,Favorite is travel-fatigued,MIA +1.5,-110.0,0.5742,,
FULL GAME TOTAL,2026-04-29,ATL,DET,,JR Ritchie,Tarik Skubal,,,,0.1935,19.3%,,HIGH,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Away team travel-fatigued",UNDER,,0.6935,8.5,
FULL GAME TOTAL,2026-04-29,SD,CHC,,Matt Waldron,Jameson Taillon,,,,0.1582,15.8%,,MEDIUM,False,"Pitcher-friendly park favors UNDER; High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.6582,9.0,
FULL GAME TOTAL,2026-04-29,LAD,MIA,,Tyler Glasnow,Sandy Alcantara,,,,0.1569,15.7%,,MEDIUM,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6569,8.5,
FULL GAME TOTAL,2026-04-29,PHI,SF,,Cristopher Sánchez,Logan Webb,,,,0.1343,13.4%,,LOW,False,"Low-scoring teams, but line is set too low; Strong value",OVER,,0.6343,7.0,
FULL GAME TOTAL,2026-04-29,TEX,NYY,,Nathan Eovaldi,Elmer Rodríguez,,,,0.1081,10.8%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.6081,8.5,
FULL GAME TOTAL,2026-04-29,CWS,LAA,,Erick Fedde,Yusei Kikuchi,,,,0.0826,8.3%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5826,8.5,
FULL GAME TOTAL,2026-04-29,PIT,STL,,Bubba Chandler,Andre Pallante,,,,0.0774,7.7%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5774,8.5,
FULL GAME TOTAL,2026-04-29,MIL,ARI,,Brandon Sproat,Eduardo Rodriguez,,,,0.0662,6.6%,,NO PLAY,False,Standard play,UNDER,,0.5662,8.5,
FULL GAME TOTAL,2026-04-29,NYM,WSH,,David Peterson,Cade Cavalli,,,,0.0623,6.2%,,NO PLAY,False,Away team travel-fatigued,UNDER,,0.5623,7.5,
FULL GAME TOTAL,2026-04-29,TOR,BOS,,Eric Lauer,Brayan Bello,,,,0.0613,6.1%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5613,8.5,
FULL GAME TOTAL,2026-04-29,CIN,COL,,Brandon Williamson,Tomoyuki Sugano,,,,0.0462,4.6%,,NO PLAY,False,Hitter-friendly park favors OVER; Away team travel-fatigued,OVER,,0.5462,9.5,
FULL GAME TOTAL,2026-04-29,BAL,HOU,,Chris Bassitt,Peter Lambert,,,,0.0351,3.5%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,,0.5351,9.0,
FULL GAME TOTAL,2026-04-29,MIN,SEA,,Taj Bradley,George Kirby,,,,0.0319,3.2%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5319,8.0,
FULL GAME TOTAL,2026-04-29,CLE,TB,,Gavin Williams,Drew Rasmussen,,,,0.0259,2.6%,,NO PLAY,False,"Elite SPs, but line overreacts; Both teams travel-fatigued",OVER,,0.5259,6.5,
F5 TOTAL,2026-04-29,LAD,MIA,,Tyler Glasnow,Sandy Alcantara,,,,0.1182,11.8%,,NO PLAY,True,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6182,4.7,
F5 TOTAL,2026-04-29,NYM,WSH,,David Peterson,Cade Cavalli,,,,0.0907,9.1%,,NO PLAY,False,Strong value; Away team travel-fatigued,UNDER,,0.5907,4.1,
F5 TOTAL,2026-04-29,CIN,COL,,Brandon Williamson,Tomoyuki Sugano,,,,0.0864,8.6%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Away team travel-fatigued,OVER,,0.5864,5.2,
F5 TOTAL,2026-04-29,ATL,DET,,JR Ritchie,Tarik Skubal,,,,0.0682,6.8%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Away team travel-fatigued",UNDER,,0.5682,4.7,
F5 TOTAL,2026-04-29,PIT,STL,,Bubba Chandler,Andre Pallante,,,,0.0663,6.6%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5663,4.7,
F5 TOTAL,2026-04-29,SD,CHC,,Matt Waldron,Jameson Taillon,,,,0.0638,6.4%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5638,5.0,
F5 TOTAL,2026-04-29,MIL,ARI,,Brandon Sproat,Eduardo Rodriguez,,,,0.0504,5.0%,,NO PLAY,False,Standard play,UNDER,,0.5504,4.7,
F5 TOTAL,2026-04-29,CLE,TB,,Gavin Williams,Drew Rasmussen,,,,0.0432,4.3%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5432,3.6,
F5 TOTAL,2026-04-29,PHI,SF,,Cristopher Sánchez,Logan Webb,,,,0.0299,3.0%,,NO PLAY,False,"Low-scoring teams, but line is set too low",OVER,,0.5299,3.9,
F5 TOTAL,2026-04-29,BAL,HOU,,Chris Bassitt,Peter Lambert,,,,0.0281,2.8%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,,0.5281,5.0,
F5 TOTAL,2026-04-29,MIN,SEA,,Taj Bradley,George Kirby,,,,0.0206,2.1%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5206,4.4,
F5 TOTAL,2026-04-29,CWS,LAA,,Erick Fedde,Yusei Kikuchi,,,,0.011,1.1%,,NO PLAY,False,Both teams travel-fatigued,OVER,,0.511,4.7,
F5 TOTAL,2026-04-29,TEX,NYY,,Nathan Eovaldi,Elmer Rodríguez,,,,0.0074,0.7%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5074,4.7,
F5 TOTAL,2026-04-29,TOR,BOS,,Eric Lauer,Brayan Bello,,,,0.0007,0.1%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5007,4.7,
1ST INN ML,2026-04-29,LAD,MIA,,Tyler Glasnow,Sandy Alcantara,,,,0.1115,11.2%,,HIGH,True,Elite pitching matchup; Strong value,MIA,-110.0,0.6353,,
1ST INN ML,2026-04-29,PHI,SF,,Cristopher Sánchez,Logan Webb,,,,0.0948,9.5%,,HIGH,True,Standard play,PHI,-110.0,0.6186,,
1ST INN ML,2026-04-29,TOR,BOS,,Eric Lauer,Brayan Bello,,,,0.0914,9.1%,,HIGH,False,Standard play,TOR,-110.0,0.6152,,
1ST INN ML,2026-04-29,CWS,LAA,,Erick Fedde,Yusei Kikuchi,,,,0.0839,8.4%,,HIGH,False,Standard play,CWS,-110.0,0.6077,,
1ST INN ML,2026-04-29,CLE,TB,,Gavin Williams,Drew Rasmussen,,,,0.0713,7.1%,,HIGH,False,Elite pitching matchup,TB,-110.0,0.5951,,
1ST INN ML,2026-04-29,ATL,DET,,JR Ritchie,Tarik Skubal,,,,0.06,6.0%,,HIGH,False,Elite pitching matchup,DET,-110.0,0.5838,,
1ST INN ML,2026-04-29,MIN,SEA,,Taj Bradley,George Kirby,,,,0.0455,4.6%,,MEDIUM,False,Elite pitching matchup,SEA,-110.0,0.5693,,
1ST INN ML,2026-04-29,OAK,KC,,Luis Severino,Michael Wacha,,,,0.0312,3.1%,,LOW,False,Standard play,KC,-110.0,0.555,,
1ST INN ML,2026-04-29,TEX,NYY,,Nathan Eovaldi,Elmer Rodríguez,,,,0.013,1.3%,,NO PLAY,False,Standard play,NYY,-110.0,0.5368,,
1ST INN ML,2026-04-29,NYM,WSH,,David Peterson,Cade Cavalli,,,,0.0056,0.6%,,NO PLAY,False,Standard play,NYM,-110.0,0.5294,,
1ST INN ML,2026-04-29,MIL,ARI,,Brandon Sproat,Eduardo Rodriguez,,,,0.0024,0.2%,,NO PLAY,False,Standard play,MIL,-110.0,0.5262,,
1ST INN ML,2026-04-29,CIN,COL,,Brandon Williamson,Tomoyuki Sugano,,,,-0.0029,-0.3%,,NO PLAY,False,Standard play,COL,-110.0,0.5209,,
1ST INN ML,2026-04-29,PIT,STL,,Bubba Chandler,Andre Pallante,,,,-0.0042,-0.4%,,NO PLAY,False,Standard play,PIT,-110.0,0.5196,,
1ST INN ML,2026-04-29,BAL,HOU,,Chris Bassitt,Peter Lambert,,,,-0.0059,-0.6%,,NO PLAY,False,Standard play,BAL,-110.0,0.5179,,
1ST INN ML,2026-04-29,SD,CHC,,Matt Waldron,Jameson Taillon,,,,-0.0086,-0.9%,,NO PLAY,False,Standard play,SD,-110.0,0.5152,,
1ST INN TOTAL,2026-04-29,LAD,MIA,,Tyler Glasnow,Sandy Alcantara,,,,0.0612,6.1%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.585,0.5,
1ST INN TOTAL,2026-04-29,OAK,KC,,Luis Severino,Michael Wacha,,,,0.0419,4.2%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5657,0.5,
1ST INN TOTAL,2026-04-29,BAL,HOU,,Chris Bassitt,Peter Lambert,,,,0.0298,3.0%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5536,0.5,
1ST INN TOTAL,2026-04-29,CLE,TB,,Gavin Williams,Drew Rasmussen,,,,0.0246,2.5%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5484,0.5,
1ST INN TOTAL,2026-04-29,ATL,DET,,JR Ritchie,Tarik Skubal,,,,0.0219,2.2%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5457,0.5,
1ST INN TOTAL,2026-04-29,SD,CHC,,Matt Waldron,Jameson Taillon,,,,0.0134,1.3%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5372,0.5,
1ST INN TOTAL,2026-04-29,PHI,SF,,Cristopher Sánchez,Logan Webb,,,,0.013,1.3%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5369,0.5,
1ST INN TOTAL,2026-04-29,MIN,SEA,,Taj Bradley,George Kirby,,,,0.0089,0.9%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5327,0.5,
1ST INN TOTAL,2026-04-29,NYM,WSH,,David Peterson,Cade Cavalli,,,,0.003,0.3%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5268,0.5,
1ST INN TOTAL,2026-04-29,TOR,BOS,,Eric Lauer,Brayan Bello,,,,-0.0122,-1.2%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5116,0.5,
1ST INN TOTAL,2026-04-29,PIT,STL,,Bubba Chandler,Andre Pallante,,,,-0.0127,-1.3%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5112,0.5,
1ST INN TOTAL,2026-04-29,CWS,LAA,,Erick Fedde,Yusei Kikuchi,,,,-0.0148,-1.5%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.509,0.5,
1ST INN TOTAL,2026-04-29,TEX,NYY,,Nathan Eovaldi,Elmer Rodríguez,,,,-0.0163,-1.6%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5075,0.5,
1ST INN TOTAL,2026-04-29,CIN,COL,,Brandon Williamson,Tomoyuki Sugano,,,,-0.0224,-2.2%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5014,0.5,
1ST INN TOTAL,2026-04-29,MIL,ARI,,Brandon Sproat,Eduardo Rodriguez,,,,-0.0228,-2.3%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5011,0.5,
PITCHER K,2026-04-29,BAL,HOU,,,,,,,0.3467,34.7%,,HIGH,True,Strong value; Starter confirmed,OVER 4.5 Ks,115.0,0.8467,4.5,Chris Bassitt
PITCHER K,2026-04-29,ATL,DET,,,,,,,0.3199,32.0%,,HIGH,True,Strong value; Starter confirmed,UNDER 6.5 Ks,-138.0,0.8199,6.5,Tarik Skubal
PITCHER K,2026-04-29,CLE,TB,,,,,,,0.2613,26.1%,,HIGH,True,Strong value; Starter confirmed,UNDER 5.5 Ks,-102.0,0.7613,5.5,Gavin Williams
PITCHER K,2026-04-29,NYM,WSH,,,,,,,0.2584,25.8%,,HIGH,False,Low K average; Strong value; Starter confirmed,UNDER 4.5 Ks,-122.0,0.7584,4.5,Cade Cavalli
PITCHER K,2026-04-29,CIN,COL,,,,,,,0.2494,24.9%,,HIGH,False,Facing high-K team; Strong value; Starter confirmed,OVER 3.5 Ks,-150.0,0.7494,3.5,Tomoyuki Sugano
PITCHER K,2026-04-29,TOR,BOS,,,,,,,0.2068,20.7%,,HIGH,False,Strong value; Starter confirmed,OVER 3.5 Ks,-150.0,0.7068,3.5,Brayan Bello
PITCHER K,2026-04-29,CWS,LAA,,,,,,,0.1979,19.8%,,HIGH,False,Facing high-K team; Strong value; Starter confirmed,OVER 3.5 Ks,-145.0,0.6979,3.5,Erick Fedde
PITCHER K,2026-04-29,LAD,MIA,,,,,,,0.1899,19.0%,,HIGH,False,Low K average; Strong value; Starter confirmed,UNDER 4.5 Ks,-105.0,0.6899,4.5,Sandy Alcantara
PITCHER K,2026-04-29,MIL,ARI,,,,,,,0.1811,18.1%,,HIGH,False,Facing high-K team; Strong value; Starter confirmed,OVER 4.5 Ks,105.0,0.6811,4.5,Eduardo Rodriguez
PITCHER K,2026-04-29,CLE,TB,,,,,,,0.1767,17.7%,,HIGH,False,Strong value; Starter confirmed,UNDER 4.5 Ks,-125.0,0.6767,4.5,Drew Rasmussen
PITCHER K,2026-04-29,MIN,SEA,,,,,,,0.1196,12.0%,,MEDIUM,False,Low K average; Strong value; Starter confirmed,UNDER 5.5 Ks,-159.0,0.6196,5.5,George Kirby
PITCHER K,2026-04-29,MIL,ARI,,,,,,,0.1194,11.9%,,MEDIUM,False,Low K average; Strong value; Starter confirmed,UNDER 3.5 Ks,110.0,0.6194,3.5,Brandon Sproat
PITCHER K,2026-04-29,TEX,NYY,,,,,,,0.1109,11.1%,,MEDIUM,False,Facing high-K team; Strong value; Starter confirmed,OVER 5.5 Ks,-110.0,0.6109,5.5,Nathan Eovaldi
PITCHER K,2026-04-29,SD,CHC,,,,,,,0.096,9.6%,,LOW,False,Standard play; Starter confirmed,UNDER 4.5 Ks,-152.0,0.596,4.5,Jameson Taillon
PITCHER K,2026-04-29,PIT,STL,,,,,,,0.0899,9.0%,,LOW,False,Low K average; Starter confirmed,UNDER 3.5 Ks,120.0,0.5899,3.5,Andre Pallante
PITCHER K,2026-04-29,PHI,SF,,,,,,,0.0896,9.0%,,LOW,False,Standard play; Starter confirmed,UNDER 6.7 Ks,-110.0,0.5896,6.7,Cristopher Sánchez
PITCHER K,2026-04-29,LAD,MIA,,,,,,,0.0831,8.3%,,LOW,False,Standard play; Starter confirmed,UNDER 6.5 Ks,116.0,0.5831,6.5,Tyler Glasnow
PITCHER K,2026-04-29,CWS,LAA,,,,,,,0.0795,8.0%,,NO PLAY,False,Facing high-K team; Starter confirmed,OVER 5.5 Ks,-113.0,0.5795,5.5,Yusei Kikuchi
PITCHER K,2026-04-29,MIN,SEA,,,,,,,0.0712,7.1%,,NO PLAY,False,Facing high-K team; Starter confirmed,OVER 5.5 Ks,-157.0,0.5712,5.5,Taj Bradley
PITCHER K,2026-04-29,NYM,WSH,,,,,,,0.0696,7.0%,,NO PLAY,False,Standard play; Starter confirmed,UNDER 5.5 Ks,-152.0,0.5696,5.5,David Peterson
PITCHER K,2026-04-29,OAK,KC,,,,,,,0.066,6.6%,,NO PLAY,False,Facing high-K team; Starter confirmed,OVER 5.1 Ks,-110.0,0.566,5.1,Michael Wacha
PITCHER K,2026-04-29,CIN,COL,,,,,,,0.0453,4.5%,,NO PLAY,False,Low K average; Starter confirmed,UNDER 4.5 Ks,-161.0,0.5453,4.5,Brandon Williamson
PITCHER K,2026-04-29,PHI,SF,,,,,,,0.0419,4.2%,,NO PLAY,False,Facing high-K team; Starter confirmed,OVER 5.5 Ks,103.0,0.5419,5.5,Logan Webb
PITCHER K,2026-04-29,PIT,STL,,,,,,,0.0332,3.3%,,NO PLAY,False,Low K average; Starter confirmed,UNDER 4.5 Ks,-109.0,0.5332,4.5,Bubba Chandler
PITCHER K,2026-04-29,TOR,BOS,,,,,,,0.0141,1.4%,,NO PLAY,False,Low K average; Starter confirmed,UNDER 4.5 Ks,-114.0,0.5141,4.5,Eric Lauer
PITCHER K,2026-04-29,OAK,KC,,,,,,,0.0037,0.4%,,NO PLAY,False,Standard play; Starter confirmed,UNDER 4.8 Ks,-110.0,0.5037,4.8,Luis Severino
PITCHER OUTS,2026-04-29,BAL,HOU,,,,,,,0.4814,48.1%,,HIGH,True,Strong value; Starter confirmed,OVER 12.3 outs,-110.0,0.9814,12.3,Chris Bassitt
PITCHER OUTS,2026-04-29,TOR,BOS,,,,,,,0.4757,47.6%,,HIGH,True,Strong value; Starter confirmed,OVER 16.5 outs,-115.0,0.9757,16.5,Brayan Bello
PITCHER OUTS,2026-04-29,LAD,MIA,,,,,,,0.4047,40.5%,,HIGH,True,Strong value; Starter confirmed,UNDER 17.5 outs,127.0,0.9047,17.5,Tyler Glasnow
PITCHER OUTS,2026-04-29,NYM,WSH,,,,,,,0.3853,38.5%,,HIGH,False,Strong value; Starter confirmed,OVER 15.5 outs,114.0,0.8853,15.5,Cade Cavalli
